Date,Close,sigma2
2004-08-13,1570.44,0.000120
2004-08-16,1591.94,0.000112
2004-08-17,1595.57,0.000095
2004-08-18,1615.72,0.000088
2004-08-19,1609.97,0.000075
2004-08-20,1620.47,0.000078
2004-08-23,1616.68,0.000068
2004-08-24,1617.46,0.000069
2004-08-25,1630.48,0.000066
2004-08-26,1630.68,0.000057
2004-08-27,1634.83,0.000055
2004-08-30,1622.28,0.000051
2004-08-31,1629.83,0.000061
2004-09-01,1632.82,0.000055
2004-09-02,1651.14,0.000051
2004-09-03,1644.25,0.000044
2004-09-07,1655.65,0.000048
2004-09-08,1648.52,0.000043
2004-09-09,1651.65,0.000047
2004-09-10,1659.84,0.000044
2004-09-13,1663.10,0.000039
2004-09-14,1666.82,0.000037
2004-09-15,1655.10,0.000035
2004-09-16,1659.78,0.000043
2004-09-17,1667.25,0.000040
2004-09-20,1657.88,0.000036
2004-09-21,1668.39,0.000042
2004-09-22,1645.17,0.000037
2004-09-23,1637.82,0.000060
2004-09-24,1640.40,0.000064
2004-09-27,1630.67,0.000060
2004-09-28,1640.62,0.000067
2004-09-29,1647.79,0.000059
2004-09-30,1647.48,0.000053
2004-10-01,1672.49,0.000052
2004-10-04,1678.10,0.000046
2004-10-05,1677.09,0.000042
2004-10-06,1688.83,0.000042
2004-10-07,1672.08,0.000037
2004-10-08,1659.51,0.000051
2004-10-11,1662.84,0.000061
2004-10-12,1659.07,0.000056
2004-10-13,1647.13,0.000057
2004-10-14,1631.81,0.000067
2004-10-15,1639.08,0.000080
2004-10-18,1647.69,0.000072
2004-10-19,1631.74,0.000064
2004-10-20,1632.49,0.000079
2004-10-21,1636.76,0.000075
2004-10-22,1620.85,0.000069
2004-10-25,1619.48,0.000084
2004-10-26,1643.57,0.000081
2004-10-27,1665.01,0.000070
2004-10-28,1668.55,0.000060
2004-10-29,1672.65,0.000056
2004-11-01,1673.10,0.000052
2004-11-02,1673.16,0.000050
2004-11-03,1692.22,0.000048
2004-11-04,1719.64,0.000042
2004-11-05,1726.34,0.000040
2004-11-08,1724.59,0.000036
2004-11-09,1724.08,0.000037
2004-11-10,1722.67,0.000036
2004-11-11,1738.32,0.000037
2004-11-12,1754.33,0.000032
2004-11-15,1753.99,0.000029
2004-11-16,1741.72,0.000029
2004-11-17,1751.57,0.000037
2004-11-18,1753.97,0.000033
2004-11-19,1734.45,0.000032
2004-11-22,1744.71,0.000048
2004-11-23,1744.31,0.000042
2004-11-24,1751.55,0.000041
2004-11-26,1753.09,0.000038
2004-11-29,1747.34,0.000036
2004-11-30,1740.33,0.000039
2004-12-01,1766.90,0.000043
2004-12-02,1765.37,0.000040
2004-12-03,1766.63,0.000040
2004-12-06,1765.33,0.000038
2004-12-07,1745.83,0.000038
2004-12-08,1754.75,0.000055
2004-12-09,1764.35,0.000049
2004-12-10,1762.51,0.000043
2004-12-13,1778.54,0.000043
2004-12-14,1785.51,0.000038
2004-12-15,1789.14,0.000035
